"year","Fdescript","total_DAmt","count","avg_DAmt"
1997,"Unrestricted",5000,10,500
1998,"Unrestricted",1000,1,1000
1999,"Donor Advised",17500,5,3500
1999,"Field of Interst",7075,9,786.111111111111
1999,"Unrestricted",15075,16,942.1875
2000,"Designated",1900,2,950
2000,"Donor Advised",50000,9,5555.55555555556
2000,"Field of Interst",10554,14,753.857142857143
2000,"Unrestricted",4610,8,576.25
2001,"Designated",8330,2,4165
2001,"Donor Advised",15300,10,1530
2001,"Field of Interst",38277,21,1822.71428571429
2001,"Unrestricted",25000,16,1562.5
2002,"Designated",10160,2,5080
2002,"Donor Advised",76933.53,7,10990.5042857143
2002,"Field of Interst",28230,20,1411.5
2002,"Unrestricted",13192,10,1319.2
2003,"Designated",2075,2,1037.5
2003,"Donor Advised",17300,15,1153.33333333333
2003,"Field of Interst",32310,21,1538.57142857143
2003,"Unrestricted",28850,18,1602.77777777778
2004,"Designated",15698,5,3139.6
2004,"Donor Advised",18720.95,21,891.47380952381
2004,"Field of Interst",67919,46,1476.5
2004,"Unrestricted",27028.08,31,871.873548387097
2005,"Designated",10681,3,3560.33333333333
2005,"Donor Advised",27324,20,1366.2
2005,"Field of Interst",77826,45,1729.46666666667
2005,"Unrestricted",26289,35,751.114285714286
2006,"Designated",63278.62,10,6327.862
2006,"Donor Advised",14955,15,997
2006,"Field of Interst",87453,41,2133
2006,"Unrestricted",31058.38,42,739.485238095238
2007,"Designated",58455,12,4871.25
2007,"Donor Advised",14800,11,1345.45454545455
2007,"Field of Interst",91240,46,1983.47826086957
2007,"Unrestricted",31804,40,795.1
2008,"Designated",60953,6,10158.8333333333
2008,"Donor Advised",45746.8,22,2079.4
2008,"Field of Interst",101029,57,1772.43859649123
2008,"Unrestricted",37951,48,790.645833333333
2009,"Designated",54648.2,9,6072.02222222222
2009,"Donor Advised",54588.2,21,2599.4380952381
2009,"Field of Interst",76278,37,2061.56756756757
2009,"Unrestricted",47689,32,1490.28125
2010,"Agency/Org.",1684,1,1684
2010,"Designated",96742.33,20,4837.1165
2010,"Donor Advised",87355.11,27,3235.37444444444
2010,"Field of Interst",94356,58,1626.8275862069
2010,"Unrestricted",38983,48,812.145833333333
2011,"Agency/Org.",1939,2,969.5
2011,"Designated",102960.01,26,3960.00038461538
2011,"Donor Advised",147002.58,32,4593.830625
2011,"Field of Interst",123368,57,2164.35087719298
2011,"Unrestricted",43236,53,815.77358490566
2012,"Agency/Org.",795,1,795
2012,"Designated",171277.38,40,4281.9345
2012,"Donor Advised",181580.1,66,2751.21363636364
2012,"Field of Interst",122396,51,2399.92156862745
2012,"Fiscal Sponsor",21344.63,1,21344.63
2012,"Project",1275,2,637.5
2012,"Unrestricted",38886,64,607.59375
2013,"Designated",216014.85,55,3927.54272727273
2013,"Donor Advised",151518.54,81,1870.59925925926
2013,"Field of Interst",161292,75,2150.56
2013,"Unrestricted",56284,75,750.453333333333
2014,"Agency/Org.",7589,5,1517.8
2014,"Designated",176284.96,55,3205.18109090909
2014,"Donor Advised",213411.99,77,2771.58428571429
2014,"Field of Interst",182053,95,1916.34736842105
2014,"Project",9900,1,9900
2014,"Unrestricted",67011,92,728.380434782609
2015,"Agency/Org.",41969,4,10492.25
2015,"Designated",147085.18,52,2828.56115384615
2015,"Donor Advised",269717,119,2266.52941176471
2015,"Field of Interst",191060,121,1579.00826446281
2015,"Unrestricted",72331,118,612.974576271186
2016,"Agency/Org.",5203,3,1734.33333333333
2016,"Designated",154245.19,57,2706.05596491228
2016,"Donor Advised",256458.24,84,3053.07428571429
2016,"Field of Interst",178683,88,2030.48863636364
2016,"Unrestricted",62266,125,498.128
2017,"Agency/Org.",5854,3,1951.33333333333
2017,"Designated",164701.73,51,3229.44568627451
2017,"Donor Advised",243570,100,2435.7
2017,"Field of Interst",145468,135,1077.54074074074
2017,"Geographic Affil",450,2,225
2017,"Unrestricted",72684,177,410.64406779661
2018,"Agency/Org.",41314,5,8262.8
2018,"Designated",195622.24,68,2876.79764705882
2018,"Donor Advised",113719,146,778.897260273973
2018,"Field of Interst",231662.85,102,2271.20441176471
2018,"Fiscal Sponsor",3094,5,618.8
2018,"Geographic Affil",8347,10,834.7
2018,"Unrestricted",61644,107,576.11214953271
