year,impact_area,Fdescript,Fund_DAmt
1997,Arts,Unrestricted,500
1997,Environment and Climate Change,Unrestricted,500
1997,Arts,Unrestricted,500
1997,Arts,Unrestricted,500
1997,Poverty Alleviation,Unrestricted,500
1997,Education,Unrestricted,500
1997,Arts,Unrestricted,500
1997,Arts,Unrestricted,500
1997,Arts,Unrestricted,500
1997,Poverty Alleviation,Unrestricted,500
1998,Education,Unrestricted,1e3
1999,Environment and Climate Change,Unrestricted,2e3
1999,Poverty Alleviation,Unrestricted,500
1999,Arts,Unrestricted,1e3
1999,Environment and Climate Change,Unrestricted,1e3
1999,Education,Unrestricted,1500
1999,Education,Unrestricted,500
1999,Poverty Alleviation,Unrestricted,1e3
1999,Poverty Alleviation,Unrestricted,1e3
1999,Poverty Alleviation,Unrestricted,1500
1999,Environment and Climate Change,Unrestricted,2235
1999,Environment and Climate Change,Field of Interst,100
1999,Arts,Unrestricted,413
1999,Arts,Field of Interst,87
1999,Arts,Field of Interst,2e3
1999,Arts,Field of Interst,1e3
1999,Arts,Unrestricted,250
1999,Arts,Unrestricted,250
1999,Peace and Human Rights,Field of Interst,1200
1999,Environment and Climate Change,Unrestricted,750
1999,Education,Field of Interst,500
1999,Arts,Field of Interst,2e3
1999,Arts,Unrestricted,412
1999,Arts,Field of Interst,88
1999,Poverty Alleviation,Unrestricted,765
1999,Poverty Alleviation,Field of Interst,100
1999,Arts,Donor Advised,4e3
1999,Arts,Donor Advised,1e3
1999,Arts,Donor Advised,2500
1999,Education,Donor Advised,5e3
1999,Arts,Donor Advised,5e3
2000,Poverty Alleviation,Donor Advised,2500
2000,Poverty Alleviation,Donor Advised,2500
2000,Poverty Alleviation,Donor Advised,2500
2000,Education,Designated,200
2000,Poverty Alleviation,Donor Advised,2500
2000,Poverty Alleviation,Donor Advised,1e4
2000,Poverty Alleviation,Donor Advised,1e4
2000,Education,Donor Advised,5e3
2000,Arts,Donor Advised,1e4
2000,Poverty Alleviation,Donor Advised,5e3
2000,Arts,Unrestricted,230
2000,Arts,Field of Interst,20
2000,Environment and Climate Change,Unrestricted,1e3
2000,Poverty Alleviation,Unrestricted,1140
2000,Poverty Alleviation,Field of Interst,700
2000,Arts,Field of Interst,1e3
2000,Arts,Field of Interst,1e3
2000,Arts,Field of Interst,400
2000,Arts,Unrestricted,100
2000,Arts,Field of Interst,665
2000,Environment and Climate Change,Unrestricted,500
2000,Poverty Alleviation,Field of Interst,2500
2000,Arts,Designated,1700
2000,Poverty Alleviation,Unrestricted,705
2000,Poverty Alleviation,Field of Interst,25
2000,Poverty Alleviation,Field of Interst,1400
2000,Poverty Alleviation,Field of Interst,1600
2000,Arts,Field of Interst,500
2000,Arts,Unrestricted,230
2000,Arts,Field of Interst,20
2000,Poverty Alleviation,Unrestricted,705
2000,Poverty Alleviation,Field of Interst,25
2000,Education,Field of Interst,699
2001,Arts,Field of Interst,2335
2001,Arts,Field of Interst,400
2001,Poverty Alleviation,Donor Advised,2e3
2001,Poverty Alleviation,Donor Advised,2e3
2001,Poverty Alleviation,Donor Advised,3e3
2001,Arts,Donor Advised,700
2001,Education,Designated,500
2001,Arts,Designated,7830
2001,Education,Donor Advised,1100
2001,Education,Donor Advised,500
2001,Education,Donor Advised,500
2001,Poverty Alleviation,Donor Advised,500
2001,Arts,Field of Interst,2e3
2001,Poverty Alleviation,Unrestricted,2e3
2001,Arts,Field of Interst,875
2001,Arts,Unrestricted,125
2001,Arts,Field of Interst,2770
2001,Poverty Alleviation,Unrestricted,1500
2001,Poverty Alleviation,Field of Interst,4e3
2001,Poverty Alleviation,Unrestricted,2e3
2001,Poverty Alleviation,Field of Interst,2e3
2001,Environment and Climate Change,Unrestricted,2e3
2001,Arts,Unrestricted,1e3
2001,Environment and Climate Change,Unrestricted,2e3
2001,Poverty Alleviation,Field of Interst,1500
2001,Poverty Alleviation,Field of Interst,2500
2001,Poverty Alleviation,Unrestricted,1e3
2001,Poverty Alleviation,Field of Interst,2750
2001,Poverty Alleviation,Unrestricted,1250
2001,Poverty Alleviation,Field of Interst,500
2001,Poverty Alleviation,Unrestricted,3e3
2001,Poverty Alleviation,Donor Advised,2500
2001,Arts,Field of Interst,3250
2001,Arts,Field of Interst,750
2001,Education,Field of Interst,1e3
2001,Education,Field of Interst,1e3
2001,Peace and Human Rights,Field of Interst,1397
2001,Education,Field of Interst,1750
2001,Education,Unrestricted,1025
2001,Poverty Alleviation,Unrestricted,2e3
2001,Uncategorized,Unrestricted,1e3
2001,Arts,Unrestricted,2e3
2001,Peace and Human Rights,Unrestricted,2e3
2001,Arts,Field of Interst,1e3
2001,Poverty Alleviation,Unrestricted,1100
2001,Poverty Alleviation,Donor Advised,2500
2001,Poverty Alleviation,Field of Interst,1e3
2001,Poverty Alleviation,Field of Interst,1500
2001,Poverty Alleviation,Field of Interst,4e3
2002,Arts,Designated,9960
2002,Education,Designated,200
2002,Education,Donor Advised,1200
2002,Education,Donor Advised,500
2002,Poverty Alleviation,Donor Advised,2e3
2002,Poverty Alleviation,Donor Advised,2500
2002,Environment and Climate Change,Field of Interst,1e3
2002,Poverty Alleviation,Field of Interst,1e3
2002,Poverty Alleviation,Field of Interst,1e3
2002,Poverty Alleviation,Donor Advised,1e3
2002,Poverty Alleviation,Field of Interst,750
2002,Poverty Alleviation,Unrestricted,250
2002,Environment and Climate Change,Field of Interst,1e3
2002,Education,Field of Interst,2e3
2002,Peace and Human Rights,Field of Interst,1e3
2002,Poverty Alleviation,Field of Interst,3e3
2002,Poverty Alleviation,Unrestricted,2e3
2002,Poverty Alleviation,Donor Advised,1e3
2002,Poverty Alleviation,Field of Interst,1500
2002,Poverty Alleviation,Unrestricted,1250
2002,Poverty Alleviation,Field of Interst,250
2002,Poverty Alleviation,Field of Interst,500
2002,Environment and Climate Change,Unrestricted,5e3
2002,Arts,Field of Interst,1e3
2002,Poverty Alleviation,Unrestricted,1e3
2002,Poverty Alleviation,Field of Interst,1500
2002,Education,Unrestricted,1e3
2002,Education,Field of Interst,500
2002,Arts,Unrestricted,1142
2002,Arts,Unrestricted,1e3
2002,Arts,Field of Interst,7230
2002,Peace and Human Rights,Field of Interst,2e3
2002,Arts,Field of Interst,1e3
2002,Arts,Unrestricted,250
2002,Arts,Field of Interst,1e3
2002,Peace and Human Rights,Field of Interst,500
2002,Education,Field of Interst,500
2002,Education,Unrestricted,300
2002,Arts,Donor Advised,68733.53
2003,Education,Donor Advised,960
2003,Education,Donor Advised,240
2003,Education,Donor Advised,1500
2003,Poverty Alleviation,Donor Advised,1e3
2003,Arts,Unrestricted,75
2003,Arts,Unrestricted,925
2003,Arts,Designated,500
2003,Arts,Unrestricted,1900
2003,Education,Unrestricted,100
2003,Peace and Human Rights,Field of Interst,250
2003,Poverty Alleviation,Donor Advised,2500
2003,Poverty Alleviation,Donor Advised,600
2003,Poverty Alleviation,Donor Advised,2e3
2003,Arts,Designated,1575
2003,Arts,Unrestricted,5e3
2003,Poverty Alleviation,Field of Interst,500
2003,Arts,Field of Interst,1600
2003,Environment and Climate Change,Unrestricted,1e3
2003,Peace and Human Rights,Field of Interst,1e3
2003,Poverty Alleviation,Unrestricted,1e3
2003,Poverty Alleviation,Unrestricted,1e3
2003,Poverty Alleviation,Field of Interst,2500
2003,Poverty Alleviation,Unrestricted,2e3
2004,Poverty Alleviation,Field of Interst,2e3
2003,Arts,Unrestricted,1400
2003,Peace and Human Rights,Field of Interst,1e3
2003,Poverty Alleviation,Field of Interst,1250
2003,Poverty Alleviation,Donor Advised,2150
2003,Peace and Human Rights,Unrestricted,1800
2003,Arts,Field of Interst,500
2003,Arts,Field of Interst,2770
2003,Arts,Unrestricted,1500
2003,Environment and Climate Change,Donor Advised,1350
2003,Environment and Climate Change,Unrestricted,150
2003,Poverty Alleviation,Field of Interst,2e3
2003,Arts,Field of Interst,3125
2003,Arts,Field of Interst,1975
2003,Peace and Human Rights,Field of Interst,1500
2003,Peace and Human Rights,Field of Interst,1e3
2003,Peace and Human Rights,Field of Interst,630
2004,Poverty Alleviation,Field of Interst,500
2003,Poverty Alleviation,Field of Interst,2e3
2003,Arts,Field of Interst,2e3
2003,Arts,Field of Interst,3125
2003,Arts,Field of Interst,1585
2003,Education,Donor Advised,1e3
2003,Education,Unrestricted,1e3
2003,Environment and Climate Change,Unrestricted,2e3
2003,Peace and Human Rights,Field of Interst,1e3
2003,Poverty Alleviation,Field of Interst,1e3
2003,Arts,Unrestricted,750
2003,Poverty Alleviation,Donor Advised,500
2003,Arts,Unrestricted,6250
2003,Poverty Alleviation,Donor Advised,500
2003,Poverty Alleviation,Donor Advised,500
2003,Education,Unrestricted,1e3
2003,Poverty Alleviation,Donor Advised,2e3
2003,Poverty Alleviation,Donor Advised,500
2004,Poverty Alleviation,Designated,1e4
2004,Poverty Alleviation,Donor Advised,1950
2004,Poverty Alleviation,Donor Advised,600
2004,Education,Donor Advised,400
2004,Education,Donor Advised,1600
2004,Poverty Alleviation,Donor Advised,600
2004,Uncategorized,Donor Advised,1e3
2004,Uncategorized,Donor Advised,1e3
2004,Uncategorized,Donor Advised,1e3
2004,Uncategorized,Donor Advised,1e3
2004,Uncategorized,Donor Advised,1e3
2004,Education,Unrestricted,125
2004,Poverty Alleviation,Donor Advised,500
2004,Arts,Donor Advised,500
2004,Poverty Alleviation,Donor Advised,570.95
2004,Arts,Field of Interst,1250
2004,Poverty Alleviation,Field of Interst,4250
2004,Education,Field of Interst,1600
2004,Arts,Field of Interst,1500
2004,Poverty Alleviation,Unrestricted,1749
2004,Poverty Alleviation,Donor Advised,1047
2004,Poverty Alleviation,Unrestricted,204
2004,Poverty Alleviation,Unrestricted,570.95
2004,Peace and Human Rights,Field of Interst,1774
2004,Peace and Human Rights,Field of Interst,276
2004,Poverty Alleviation,Field of Interst,2e3
2004,Environment and Climate Change,Field of Interst,2e3
2004,Arts,Field of Interst,2e3
2004,Education,Unrestricted,973
2004,Education,Unrestricted,259
2004,Education,Unrestricted,145
2004,Education,Unrestricted,273
2004,Education,Unrestricted,168
2004,Education,Unrestricted,682
2004,Arts,Field of Interst,2e3
2004,Education,Field of Interst,2e3
2004,Education,Field of Interst,1978
2004,Education,Donor Advised,22
2004,Peace and Human Rights,Field of Interst,1500
2004,Environment and Climate Change,Unrestricted,1e3
2004,Environment and Climate Change,Unrestricted,1500
2004,Education,Donor Advised,1500
2004,Poverty Alleviation,Field of Interst,1e3
2004,Poverty Alleviation,Field of Interst,500
2004,Poverty Alleviation,Field of Interst,697
2004,Poverty Alleviation,Field of Interst,303
2004,Peace and Human Rights,Field of Interst,600
2004,Poverty Alleviation,Field of Interst,3e3
2004,Arts,Field of Interst,3750
2004,Peace and Human Rights,Field of Interst,1695
2004,Education,Field of Interst,1e3
2004,Environment and Climate Change,Field of Interst,2500
2004,Education,Field of Interst,1004
2004,Education,Field of Interst,464
2004,Education,Unrestricted,2032
2004,Peace and Human Rights,Field of Interst,2e3
2004,Arts,Field of Interst,2275
2004,Poverty Alleviation,Unrestricted,1500
2004,Arts,Field of Interst,5e3
2004,Environment and Climate Change,Unrestricted,2117
2004,Environment and Climate Change,Unrestricted,383
2004,Environment and Climate Change,Unrestricted,-803.87
2004,Arts,Field of Interst,218
2004,Arts,Field of Interst,2775
2004,Arts,Donor Advised,7
2004,Environment and Climate Change,Unrestricted,159
2004,Environment and Climate Change,Unrestricted,1151
2004,Peace and Human Rights,Field of Interst,500
2004,Arts,Field of Interst,239
2004,Arts,Donor Advised,2361
2004,Arts,Field of Interst,347
2004,Arts,Field of Interst,271
2004,Arts,Unrestricted,882
2004,Arts,Donor Advised,49
2004,Arts,Unrestricted,451
2004,Education,Field of Interst,1e3
2004,Arts,Field of Interst,1200
2004,Peace and Human Rights,Field of Interst,1971
2004,Peace and Human Rights,Field of Interst,649
2004,Peace and Human Rights,Field of Interst,5
2004,Poverty Alleviation,Field of Interst,2e3
2004,Poverty Alleviation,Unrestricted,3840
2004,Poverty Alleviation,Unrestricted,341
2004,Poverty Alleviation,Unrestricted,100
2004,Poverty Alleviation,Unrestricted,207
2004,Poverty Alleviation,Unrestricted,211
2004,Poverty Alleviation,Unrestricted,101
