"year","impact_area","Fdescript","total_DAmt","count","avg_DAmt"
1997,"Arts","Unrestricted",3000,6,500
1997,"Education","Unrestricted",500,1,500
1997,"Environment and Climate Change","Unrestricted",500,1,500
1997,"Poverty Alleviation","Unrestricted",1000,2,500
1998,"Education","Unrestricted",1000,1,1000
1999,"Arts","Donor Advised",12500,4,3125
1999,"Arts","Field of Interst",5175,5,1035
1999,"Arts","Unrestricted",2325,5,465
1999,"Education","Donor Advised",5000,1,5000
1999,"Education","Field of Interst",500,1,500
1999,"Education","Unrestricted",2000,2,1000
1999,"Environment and Climate Change","Field of Interst",100,1,100
1999,"Environment and Climate Change","Unrestricted",5985,4,1496.25
1999,"Peace and Human Rights","Field of Interst",1200,1,1200
1999,"Poverty Alleviation","Field of Interst",100,1,100
1999,"Poverty Alleviation","Unrestricted",4765,5,953
2000,"Arts","Designated",1700,1,1700
2000,"Arts","Donor Advised",10000,1,10000
2000,"Arts","Field of Interst",3605,7,515
2000,"Arts","Unrestricted",560,3,186.666666666667
2000,"Education","Designated",200,1,200
2000,"Education","Donor Advised",5000,1,5000
2000,"Education","Field of Interst",699,1,699
2000,"Environment and Climate Change","Unrestricted",1500,2,750
2000,"Poverty Alleviation","Donor Advised",35000,7,5000
2000,"Poverty Alleviation","Field of Interst",6250,6,1041.66666666667
2000,"Poverty Alleviation","Unrestricted",2550,3,850
2001,"Arts","Designated",7830,1,7830
2001,"Arts","Donor Advised",700,1,700
2001,"Arts","Field of Interst",13380,8,1672.5
2001,"Arts","Unrestricted",3125,3,1041.66666666667
2001,"Education","Designated",500,1,500
2001,"Education","Donor Advised",2100,3,700
2001,"Education","Field of Interst",3750,3,1250
2001,"Education","Unrestricted",1025,1,1025
2001,"Environment and Climate Change","Unrestricted",4000,2,2000
2001,"Peace and Human Rights","Field of Interst",1397,1,1397
2001,"Peace and Human Rights","Unrestricted",2000,1,2000
2001,"Poverty Alleviation","Donor Advised",12500,6,2083.33333333333
2001,"Poverty Alleviation","Field of Interst",19750,9,2194.44444444444
2001,"Poverty Alleviation","Unrestricted",13850,8,1731.25
2001,"Uncategorized","Unrestricted",1000,1,1000
2002,"Arts","Designated",9960,1,9960
2002,"Arts","Donor Advised",68733.53,1,68733.53
2002,"Arts","Field of Interst",10230,4,2557.5
2002,"Arts","Unrestricted",2392,3,797.333333333333
2002,"Education","Designated",200,1,200
2002,"Education","Donor Advised",1700,2,850
2002,"Education","Field of Interst",3000,3,1000
2002,"Education","Unrestricted",1300,2,650
2002,"Environment and Climate Change","Field of Interst",2000,2,1000
2002,"Environment and Climate Change","Unrestricted",5000,1,5000
2002,"Peace and Human Rights","Field of Interst",3500,3,1166.66666666667
2002,"Poverty Alleviation","Donor Advised",6500,4,1625
2002,"Poverty Alleviation","Field of Interst",9500,8,1187.5
2002,"Poverty Alleviation","Unrestricted",4500,4,1125
2003,"Arts","Designated",2075,2,1037.5
2003,"Arts","Field of Interst",16680,8,2085
2003,"Arts","Unrestricted",17800,8,2225
2003,"Education","Donor Advised",3700,4,925
2003,"Education","Unrestricted",2100,3,700
2003,"Environment and Climate Change","Donor Advised",1350,1,1350
2003,"Environment and Climate Change","Unrestricted",3150,3,1050
2003,"Peace and Human Rights","Field of Interst",6380,7,911.428571428571
2003,"Peace and Human Rights","Unrestricted",1800,1,1800
2003,"Poverty Alleviation","Donor Advised",12250,10,1225
2003,"Poverty Alleviation","Field of Interst",9250,6,1541.66666666667
2003,"Poverty Alleviation","Unrestricted",4000,3,1333.33333333333
2004,"Arts","Designated",5266,3,1755.33333333333
2004,"Arts","Donor Advised",2917,4,729.25
2004,"Arts","Field of Interst",25475,15,1698.33333333333
2004,"Arts","Unrestricted",1333,2,666.5
2004,"Education","Donor Advised",3522,4,880.5
2004,"Education","Field of Interst",9046,7,1292.28571428571
2004,"Education","Unrestricted",7657,9,850.777777777778
2004,"Environment and Climate Change","Field of Interst",4500,2,2250
2004,"Environment and Climate Change","Unrestricted",5506.13,7,786.59
2004,"Peace and Human Rights","Field of Interst",10970,10,1097
2004,"Poverty Alleviation","Designated",10432,2,5216
2004,"Poverty Alleviation","Donor Advised",7281.95,8,910.24375
2004,"Poverty Alleviation","Field of Interst",17928,12,1494
2004,"Poverty Alleviation","Unrestricted",12531.95,13,963.996153846154
2004,"Uncategorized","Donor Advised",5000,5,1000
2005,"Arts","Designated",2574,1,2574
2005,"Arts","Donor Advised",2000,1,2000
2005,"Arts","Field of Interst",21755,12,1812.91666666667
2005,"Arts","Unrestricted",2785,6,464.166666666667
2005,"Education","Designated",7500,1,7500
2005,"Education","Donor Advised",3600,2,1800
2005,"Education","Field of Interst",11613,6,1935.5
2005,"Education","Unrestricted",13062,14,933
2005,"Environment and Climate Change","Field of Interst",10500,6,1750
2005,"Environment and Climate Change","Unrestricted",2500,1,2500
2005,"Peace and Human Rights","Field of Interst",11000,10,1100
2005,"Poverty Alleviation","Designated",607,1,607
2005,"Poverty Alleviation","Donor Advised",21724,17,1277.88235294118
2005,"Poverty Alleviation","Field of Interst",22958,11,2087.09090909091
2005,"Poverty Alleviation","Unrestricted",7942,14,567.285714285714
2006,"Arts","Designated",2639,1,2639
2006,"Arts","Donor Advised",500,1,500
2006,"Arts","Field of Interst",31737,10,3173.7
2006,"Arts","Unrestricted",6663,4,1665.75
2006,"Education","Designated",60006.62,8,7500.8275
2006,"Education","Donor Advised",2455,2,1227.5
2006,"Education","Field of Interst",10252,8,1281.5
2006,"Education","Unrestricted",15459.38,22,702.699090909091
2006,"Environment and Climate Change","Field of Interst",11300,2,5650
2006,"Environment and Climate Change","Unrestricted",2000,1,2000
